Número de oraciones principales con sujeto antepuesto: 8182
Número de oraciones principales sin sujeto antepuesto: 9520

Porcentaje de oraciones con sujeto antepuesto: 46.22 %

Porcentaje de oraciones con sujeto antepuesto por documento:

+-------+----------------------+-------------------+-------------------------+
|       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
| 139_20010601_ssd_forms_annotated.conllu     |                    1 |                 1 |                   50    |
| 17_19981201_ssd_forms_annotated.conllu      |                    6 |                 7 |                   53.85 |
| 69_20010201_n_ssd_forms_annotated.conllu    |                    0 |                 2 |                  100    |
| 69_19991001_ssd_forms_annotated.conllu      |                    8 |                 7 |                   46.67 |
| 50_19981201_ssd_forms_annotated.conllu      |                    1 |                 2 |                   66.67 |
| 9661_20000815_ssd_forms_annotated.conllu    |                    2 |                 1 |                   33.33 |
| 2_20010501_ssd_forms_annotated.conllu       |                    4 |                 3 |                   42.86 |
| t5-1_ssd_forms_annotated.conllu             |                    3 |                 8 |                   72.73 |
| a12-4_ssd_forms_annotated.conllu            |                    2 |                 0 |                    0    |
| 17_20000602_d_ssd_forms_annotated.conllu    |                    0 |                 1 |                  100    |
| 33_19990802_ssd_forms_annotated.conllu      |                    2 |                 8 |                   80    |
| 62_20010702_ssd_forms_annotated.conllu      |                    2 |                 1 |                   33.33 |
| 38_19990902_b_ssd_forms_annotated.conllu    |                    3 |                 0 |                    0    |
| 68_20000402_ssd_forms_annotated.conllu      |                    4 |                16 |                   80    |
| 109_19990103_ssd_forms_annotated.conllu     |                    0 |                 3 |                  100    |
| 4216_20001107_ssd_forms_annotated.conllu    |                   10 |                 8 |                   44.44 |
| d1-0_ssd_forms_annotated.conllu             |                   11 |                 4 |                   26.67 |
| 10_20020501_ssd_forms_annotated.conllu      |                   13 |                17 |                   56.67 |
| 104_C-5_ssd_forms_annotated.conllu          |                    9 |                15 |                   62.5  |
| 7997_20001212_ssd_forms_annotated.conllu    |                    3 |                 2 |                   40    |
| 204_c-4_ssd_forms_annotated.conllu          |                    8 |                 9 |                   52.94 |
| 118_19990701_ssd_forms_annotated.conllu     |                    2 |                 2 |                   50    |
| 69_20010201_b_ssd_forms_annotated.conllu    |                    0 |                 3 |                  100    |
| 148_19981202_ssd_forms_annotated.conllu     |                    1 |                 0 |                    0    |
| 84_19990902_ssd_forms_annotated.conllu      |                   14 |                 6 |                   30    |
| 42_19990301_ssd_forms_annotated.conllu      |                    3 |                10 |                   76.92 |
| 32_20011101_ssd_forms_annotated.conllu      |                    0 |                 4 |                  100    |
| 3_19991202_ssd_forms_annotated.conllu       |                    9 |                15 |                   62.5  |
| 18485_20000724_ssd_forms_annotated.conllu   |                    4 |                 3 |                   42.86 |
| t4-5_ssd_forms_annotated.conllu             |                    9 |                 2 |                   18.18 |
| n1-9_ssd_forms_annotated.conllu             |                   11 |                 4 |                   26.67 |
| c4-0_ssd_forms_annotated.conllu             |                    8 |                 4 |                   33.33 |
| 73_20000201_a_ssd_forms_annotated.conllu    |                    1 |                 7 |                   87.5  |
| 65_20010302_ssd_forms_annotated.conllu      |                    0 |                 2 |                  100    |
| 21553_20000429_ssd_forms_annotated.conllu   |                    2 |                 3 |                   60    |
| 50_19991101_ssd_forms_annotated.conllu      |                    2 |                 2 |                   50    |
| 20_20010301_ssd_forms_annotated.conllu      |                    7 |                15 |                   68.18 |
| 18_20011202_ssd_forms_annotated.conllu      |                    5 |                 2 |                   28.57 |
| 21_20001002_ssd_forms_annotated.conllu      |                    2 |                 2 |                   50    |
| 23_20001001_ssd_forms_annotated.conllu      |                   10 |                 3 |                   23.08 |
| 10583_20000714_ssd_forms_annotated.conllu   |                    2 |                 4 |                   66.67 |
| 16686_20000221_ssd_forms_annotated.conllu   |                    9 |                16 |                   64    |
| 3502_20001106_ssd_forms_annotated.conllu    |                    6 |                 7 |                   53.85 |
| t1-3_ssd_forms_annotated.conllu             |                    8 |                 4 |                   33.33 |
| 5405_20000908_ssd_forms_annotated.conllu    |                    3 |                10 |                   76.92 |
| 71_20010501_ssd_forms_annotated.conllu      |                    3 |                 3 |                   50    |
| 10049_20001114_ssd_forms_annotated.conllu   |                    1 |                 8 |                   88.89 |
| 34_20010502_ssd_forms_annotated.conllu      |                    4 |                 5 |                   55.56 |
| 20686_20001025_ssd_forms_annotated.conllu   |                    5 |                15 |                   75    |
| t4-9_ssd_forms_annotated.conllu             |                    5 |                 6 |                   54.55 |
| 18_19990602_d_ssd_forms_annotated.conllu    |                    0 |                 4 |                  100    |
| 143_20010601_ssd_forms_annotated.conllu     |                    9 |                 5 |                   35.71 |
| n1-5_ssd_forms_annotated.conllu             |                    7 |                 4 |                   36.36 |
| 8815_20000114_ssd_forms_annotated.conllu    |                    0 |                 4 |                  100    |
| 14736_20000618_ssd_forms_annotated.conllu   |                   14 |                 8 |                   36.36 |
| c1-6_ssd_forms_annotated.conllu             |                    8 |                 6 |                   42.86 |
| 85_20010103_ssd_forms_annotated.conllu      |                    6 |                14 |                   70    |
| dc1-15_ssd_forms_annotated.conllu           |                    6 |                 4 |                   40    |
| 23195_20000328_ssd_forms_annotated.conllu   |                    9 |                11 |                   55    |
| 21333_20000326_h_ssd_forms_annotated.conllu |                    0 |                 3 |                  100    |
| 15776_20000320_ssd_forms_annotated.conllu   |                    6 |                 7 |                   53.85 |
| 17655_20000125_ssd_forms_annotated.conllu   |                    5 |                 6 |                   54.55 |
| 2000060111_5-3_ssd_forms_annotated.conllu   |                    1 |                 4 |                   80    |
| 57_20000401_d_ssd_forms_annotated.conllu    |                    1 |                 2 |                   66.67 |
| 106_20020402_ssd_forms_annotated.conllu     |                    4 |                 4 |                   50    |
| 3784_20000806_ssd_forms_annotated.conllu    |                    8 |                 7 |                   46.67 |
| dc1-4_ssd_forms_annotated.conllu            |                    5 |                 6 |                   54.55 |
| 23_20000501_ssd_forms_annotated.conllu      |                    6 |                 8 |                   57.14 |
| 137_20020501_ssd_forms_annotated.conllu     |                    4 |                 5 |                   55.56 |
| 24024_20000731_ssd_forms_annotated.conllu   |                    1 |                 4 |                   80    |
| dc1-8_ssd_forms_annotated.conllu            |                    4 |                 6 |                   60    |
| 108_20000402_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| 35_20000301_ssd_forms_annotated.conllu      |                    5 |                 1 |                   16.67 |
| 19_19990602_d_ssd_forms_annotated.conllu    |                    2 |                 3 |                   60    |
| 24092_20001029_ssd_forms_annotated.conllu   |                    4 |                10 |                   71.43 |
| 100_20010901_ssd_forms_annotated.conllu     |                    1 |                 1 |                   50    |
| 21333_20000326_d_ssd_forms_annotated.conllu |                    4 |                 0 |                    0    |
| 35_20000202_d_ssd_forms_annotated.conllu    |                    3 |                 3 |                   50    |
| 181_20010302_ssd_forms_annotated.conllu     |                    1 |                 2 |                   66.67 |
| 3818_20000806_ssd_forms_annotated.conllu    |                   10 |                 7 |                   41.18 |
| 125_19990701_ssd_forms_annotated.conllu     |                    3 |                 1 |                   25    |
| 14479_20000418_ssd_forms_annotated.conllu   |                    3 |                 4 |                   57.14 |
| 16786_20000221_ssd_forms_annotated.conllu   |                    1 |                 7 |                   87.5  |
| 156_20020502_ssd_forms_annotated.conllu     |                    1 |                 3 |                   75    |
| a15-1_ssd_forms_annotated.conllu            |                   12 |                 2 |                   14.29 |
| a22-0_ssd_forms_annotated.conllu            |                    8 |                 4 |                   33.33 |
| c2-1_ssd_forms_annotated.conllu             |                   10 |                 4 |                   28.57 |
| 3836_20000204_ssd_forms_annotated.conllu    |                    6 |                14 |                   70    |
| 8193_20000511_ssd_forms_annotated.conllu    |                   12 |                 3 |                   20    |
| 15630_20001120_ssd_forms_annotated.conllu   |                    9 |                 4 |                   30.77 |
| 34_20000401_ssd_forms_annotated.conllu      |                    7 |                12 |                   63.16 |
| 86_20000102_ssd_forms_annotated.conllu      |                   11 |                 9 |                   45    |
| 18213_20000828_ssd_forms_annotated.conllu   |                    8 |                 2 |                   20    |
| 17278_20000321_ssd_forms_annotated.conllu   |                    4 |                 3 |                   42.86 |
| 144_19990702_ssd_forms_annotated.conllu     |                    1 |                 3 |                   75    |
| 117_20010801_ssd_forms_annotated.conllu     |                    0 |                 4 |                  100    |
| 92_20000701_ssd_forms_annotated.conllu      |                   12 |                 8 |                   40    |
| 6354_20000909_ssd_forms_annotated.conllu    |                    5 |                 4 |                   44.44 |
| 12803_20000416_ssd_forms_annotated.conllu   |                   12 |                17 |                   58.62 |
| 133_20001202_ssd_forms_annotated.conllu     |                    1 |                 1 |                   50    |
| 13928_20000317_ssd_forms_annotated.conllu   |                   11 |                 7 |                   38.89 |
| 87_20020501_ssd_forms_annotated.conllu      |                    0 |                 4 |                  100    |
| 16210_20000520_ssd_forms_annotated.conllu   |                    3 |                 4 |                   57.14 |
| 105_20020301_ssd_forms_annotated.conllu     |                    6 |                 5 |                   45.45 |
| 176_20001201_ssd_forms_annotated.conllu     |                    8 |                 9 |                   52.94 |
| 199_20010601_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| 4958_20000606_ssd_forms_annotated.conllu    |                    5 |                 6 |                   54.55 |
| 2_20010702_ssd_forms_annotated.conllu       |                    1 |                 2 |                   66.67 |
| 51_20020601_ssd_forms_annotated.conllu      |                   27 |                 3 |                   10    |
| 1687_20000503_ssd_forms_annotated.conllu    |                    2 |                 4 |                   66.67 |
| 2000060204_5-2_ssd_forms_annotated.conllu   |                    3 |                 8 |                   72.73 |
| 85_20010902_ssd_forms_annotated.conllu      |                    2 |                 2 |                   50    |
| 10226_20000714_ssd_forms_annotated.conllu   |                    6 |                 3 |                   33.33 |
| 4901_20001107_ssd_forms_annotated.conllu    |                    4 |                 5 |                   55.56 |
| 133_20000702_ssd_forms_annotated.conllu     |                    4 |                 1 |                   20    |
| 98_20011101_ssd_forms_annotated.conllu      |                    0 |                 2 |                  100    |
| 16529_20001121_ssd_forms_annotated.conllu   |                    3 |                 2 |                   40    |
| 126_20020502_ssd_forms_annotated.conllu     |                    6 |                 2 |                   25    |
| 34_20020103_ssd_forms_annotated.conllu      |                   39 |                 8 |                   17.02 |
| 111_20010702_ssd_forms_annotated.conllu     |                    2 |                 1 |                   33.33 |
| 94_20000802_ssd_forms_annotated.conllu      |                    8 |                 7 |                   46.67 |
| 17_20000202_ssd_forms_annotated.conllu      |                    3 |                 3 |                   50    |
| d1-11_ssd_forms_annotated.conllu            |                   10 |                 1 |                    9.09 |
| dc2-3_ssd_forms_annotated.conllu            |                    4 |                 6 |                   60    |
| 121_19991202_e_ssd_forms_annotated.conllu   |                    0 |                 3 |                  100    |
| 14713_20001219_ssd_forms_annotated.conllu   |                    3 |                 4 |                   57.14 |
| 25091_20000929_ssd_forms_annotated.conllu   |                    5 |                 0 |                    0    |
| 5808_20001108_ssd_forms_annotated.conllu    |                    4 |                11 |                   73.33 |
| 10044_20000313_ssd_forms_annotated.conllu   |                    6 |                 2 |                   25    |
| 105_19990601_ssd_forms_annotated.conllu     |                    2 |                 6 |                   75    |
| 135_19981201_d_ssd_forms_annotated.conllu   |                    1 |                 3 |                   75    |
| 25_20010102_ssd_forms_annotated.conllu      |                   11 |                11 |                   50    |
| 26_19990701_a_ssd_forms_annotated.conllu    |                   76 |                20 |                   20.83 |
| 129_20010702_ssd_forms_annotated.conllu     |                    6 |                 2 |                   25    |
| 110_20000502_ssd_forms_annotated.conllu     |                    1 |                 1 |                   50    |
| 12163_20000415_ssd_forms_annotated.conllu   |                   10 |                 5 |                   33.33 |
| d2-6_ssd_forms_annotated.conllu             |                    7 |                 6 |                   46.15 |
| 65_20000602_ssd_forms_annotated.conllu      |                   11 |                14 |                   56    |
| 126_20010301_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| t3-1_ssd_forms_annotated.conllu             |                   22 |                 2 |                    8.33 |
| 23896_20000530_ssd_forms_annotated.conllu   |                   10 |                10 |                   50    |
| 8439_20001011_ssd_forms_annotated.conllu    |                    0 |                 8 |                  100    |
| 111_C-4_ssd_forms_annotated.conllu          |                    8 |                 5 |                   38.46 |
| 5498_20000307_ssd_forms_annotated.conllu    |                    1 |                 7 |                   87.5  |
| 5253_20001207_ssd_forms_annotated.conllu    |                    2 |                 6 |                   75    |
| 21_20020702_a_ssd_forms_annotated.conllu    |                   12 |                10 |                   45.45 |
| 21_20000202_a_ssd_forms_annotated.conllu    |                    8 |                 0 |                    0    |
| 51_19990702_ssd_forms_annotated.conllu      |                    2 |                 4 |                   66.67 |
| 14_20000903_ssd_forms_annotated.conllu      |                    9 |                 1 |                   10    |
| 135_20000202_ssd_forms_annotated.conllu     |                   49 |                 8 |                   14.04 |
| 71_19991201_f_ssd_forms_annotated.conllu    |                    1 |                 2 |                   66.67 |
| 139_19991201_ssd_forms_annotated.conllu     |                    3 |                12 |                   80    |
| 53_19990901_ssd_forms_annotated.conllu      |                    3 |                 5 |                   62.5  |
| 104_20000301_ssd_forms_annotated.conllu     |                    5 |                 4 |                   44.44 |
| 211_C-5_ssd_forms_annotated.conllu          |                    9 |                13 |                   59.09 |
| n1-11_ssd_forms_annotated.conllu            |                    7 |                 7 |                   50    |
| 108_19990602_ssd_forms_annotated.conllu     |                    3 |                 2 |                   40    |
| 167_20010202_ssd_forms_annotated.conllu     |                    1 |                 5 |                   83.33 |
| e2-0_ssd_forms_annotated.conllu             |                   10 |                 3 |                   23.08 |
| 3900_20000906_ssd_forms_annotated.conllu    |                    1 |                 5 |                   83.33 |
| 14710_20000218_ssd_forms_annotated.conllu   |                    6 |                11 |                   64.71 |
| 12221_20000215_ssd_forms_annotated.conllu   |                    3 |                 3 |                   50    |
| 35_20000103_ssd_forms_annotated.conllu      |                   14 |                14 |                   50    |
| 21_20000601_b_ssd_forms_annotated.conllu    |                    6 |                 3 |                   33.33 |
| dc2-10_ssd_forms_annotated.conllu           |                   14 |                 5 |                   26.32 |
| 55_20010102_ssd_forms_annotated.conllu      |                    1 |                 1 |                   50    |
| 19378_20001024_ssd_forms_annotated.conllu   |                    4 |                 3 |                   42.86 |
| 2921_20001105_ssd_forms_annotated.conllu    |                    6 |                 7 |                   53.85 |
| 52_20000802_ssd_forms_annotated.conllu      |                   13 |                 8 |                   38.1  |
| dc10-10_ssd_forms_annotated.conllu          |                    8 |                 6 |                   42.86 |
| r2-5_ssd_forms_annotated.conllu             |                   11 |                 5 |                   31.25 |
| 56_20000801_h_ssd_forms_annotated.conllu    |                    2 |                 2 |                   50    |
| 1267_20000103_ssd_forms_annotated.conllu    |                    7 |                 8 |                   53.33 |
| 11_20001202_ssd_forms_annotated.conllu      |                    5 |                 8 |                   61.54 |
| 37_20010602_ssd_forms_annotated.conllu      |                    1 |                 0 |                    0    |
| dc3-6_ssd_forms_annotated.conllu            |                    9 |                 2 |                   18.18 |
| 56_20000801_d_ssd_forms_annotated.conllu    |                    2 |                 1 |                   33.33 |
| r2-9_ssd_forms_annotated.conllu             |                    4 |                 6 |                   60    |
| 43_20010702_ssd_forms_annotated.conllu      |                    8 |                 5 |                   38.46 |
| 129_20020502_ssd_forms_annotated.conllu     |                   10 |                 1 |                    9.09 |
| 16_20020202_ssd_forms_annotated.conllu      |                    8 |                 3 |                   27.27 |
| 18813_20000223_ssd_forms_annotated.conllu   |                    2 |                 5 |                   71.43 |
| a1-5_ssd_forms_annotated.conllu             |                   11 |                 4 |                   26.67 |
| 34_19981202_ssd_forms_annotated.conllu      |                    2 |                10 |                   83.33 |
| 31_20000802_ssd_forms_annotated.conllu      |                    5 |                 4 |                   44.44 |
| 153_20011001_ssd_forms_annotated.conllu     |                    0 |                 1 |                  100    |
| 10656_20001214_ssd_forms_annotated.conllu   |                    4 |                 3 |                   42.86 |
| 12000_20000415_ssd_forms_annotated.conllu   |                    8 |                 1 |                   11.11 |
| 103_20000502_ssd_forms_annotated.conllu     |                    3 |                 4 |                   57.14 |
| t5-0_ssd_forms_annotated.conllu             |                    3 |                 8 |                   72.73 |
| 17_20000602_e_ssd_forms_annotated.conllu    |                    0 |                 2 |                  100    |
| 52_20011201_ssd_forms_annotated.conllu      |                    9 |                12 |                   57.14 |
| 6552_20000810_ssd_forms_annotated.conllu    |                    8 |                 5 |                   38.46 |
| 16730_20000221_ssd_forms_annotated.conllu   |                   11 |                 7 |                   38.89 |
| 10_20010402_b_ssd_forms_annotated.conllu    |                    9 |                10 |                   52.63 |
| 38_19990902_c_ssd_forms_annotated.conllu    |                    2 |                 2 |                   50    |
| 10_19981202_ssd_forms_annotated.conllu      |                    6 |                 5 |                   45.45 |
| 112_20010402_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| 4636_20000109_ssd_forms_annotated.conllu    |                    1 |                 4 |                   80    |
| 54_20010802_ssd_forms_annotated.conllu      |                    7 |                10 |                   58.82 |
| 104_C-4_ssd_forms_annotated.conllu          |                   12 |                 8 |                   40    |
| d1-1_ssd_forms_annotated.conllu             |                    9 |                 2 |                   18.18 |
| 136_20001001_ssd_forms_annotated.conllu     |                   48 |                 8 |                   14.29 |
| 65_20010701_ssd_forms_annotated.conllu      |                    6 |                 5 |                   45.45 |
| 8504_20001212_ssd_forms_annotated.conllu    |                    6 |                 6 |                   50    |
| 80_20011001_ssd_forms_annotated.conllu      |                    2 |                 4 |                   66.67 |
| 20_20010702_ssd_forms_annotated.conllu      |                    3 |                10 |                   76.92 |
| 24478_20000330_ssd_forms_annotated.conllu   |                    2 |                 4 |                   66.67 |
| 204_c-5_ssd_forms_annotated.conllu          |                    6 |                13 |                   68.42 |
| 69_20010201_c_ssd_forms_annotated.conllu    |                    1 |                 3 |                   75    |
| 2505_20001004_ssd_forms_annotated.conllu    |                    8 |                 7 |                   46.67 |
| 23144_20001129_ssd_forms_annotated.conllu   |                    4 |                 5 |                   55.56 |
| 176_20010201_ssd_forms_annotated.conllu     |                    1 |                 2 |                   66.67 |
| 141_19991001_ssd_forms_annotated.conllu     |                   20 |                 7 |                   25.93 |
| 30_20020801_a_ssd_forms_annotated.conllu    |                    2 |                 4 |                   66.67 |
| 21729_20000225_ssd_forms_annotated.conllu   |                    6 |                 7 |                   53.85 |
| d2-18_ssd_forms_annotated.conllu            |                    1 |                 0 |                    0    |
| 42_19991202_ssd_forms_annotated.conllu      |                   12 |                 9 |                   42.86 |
| 105_20000401_ssd_forms_annotated.conllu     |                    6 |                 2 |                   25    |
| 29_19990502_ssd_forms_annotated.conllu      |                    0 |                 5 |                  100    |
| 10055_20000713_ssd_forms_annotated.conllu   |                    3 |                 6 |                   66.67 |
| 4738_20001107_ssd_forms_annotated.conllu    |                    9 |                 4 |                   30.77 |
| 6823_20000810_ssd_forms_annotated.conllu    |                    3 |                 1 |                   25    |
| 18587_20000622_ssd_forms_annotated.conllu   |                    8 |                 4 |                   33.33 |
| 73_20020301_ssd_forms_annotated.conllu      |                    0 |                 2 |                  100    |
| dc10-1_ssd_forms_annotated.conllu           |                    6 |                 4 |                   40    |
| 113_20000201_ssd_forms_annotated.conllu     |                    2 |                13 |                   86.67 |
| 111_20000202_ssd_forms_annotated.conllu     |                    3 |                 2 |                   40    |
| 49_19990601_d_ssd_forms_annotated.conllu    |                    1 |                 3 |                   75    |
| 1506_20001003_ssd_forms_annotated.conllu    |                    4 |                 7 |                   63.64 |
| 8484_20000210_ssd_forms_annotated.conllu    |                    3 |                 1 |                   25    |
| 127_20010401_ssd_forms_annotated.conllu     |                    2 |                 3 |                   60    |
| d2-14_ssd_forms_annotated.conllu            |                    8 |                 3 |                   27.27 |
| 30_20000903_ssd_forms_annotated.conllu      |                   13 |                 8 |                   38.1  |
| 146_20001001_ssd_forms_annotated.conllu     |                    2 |                 0 |                    0    |
| 27_19981202_ssd_forms_annotated.conllu      |                    5 |                 5 |                   50    |
| 108_20000301_b_ssd_forms_annotated.conllu   |                    3 |                 5 |                   62.5  |
| 18381_20000322_ssd_forms_annotated.conllu   |                   12 |                 8 |                   40    |
| 50_20010902_ssd_forms_annotated.conllu      |                    0 |                 2 |                  100    |
| 6582_20001209_ssd_forms_annotated.conllu    |                    5 |                21 |                   80.77 |
| 3128_20001105_ssd_forms_annotated.conllu    |                    1 |                 1 |                   50    |
| 15595_20000920_ssd_forms_annotated.conllu   |                   15 |                15 |                   50    |
| 10585_20000213_ssd_forms_annotated.conllu   |                    0 |                 6 |                  100    |
| 141_19981202_ssd_forms_annotated.conllu     |                   11 |                 8 |                   42.11 |
| 3286_20000505_ssd_forms_annotated.conllu    |                   11 |                 9 |                   45    |
| 2916_20000705_ssd_forms_annotated.conllu    |                    1 |                 7 |                   87.5  |
| 28_20020402_ssd_forms_annotated.conllu      |                    2 |                 1 |                   33.33 |
| 19350_20001024_ssd_forms_annotated.conllu   |                    9 |                 4 |                   30.77 |
| 20_20000201_a_ssd_forms_annotated.conllu    |                    3 |                 1 |                   25    |
| 17249_20001021_ssd_forms_annotated.conllu   |                    2 |                 6 |                   75    |
| 3876_20001005_ssd_forms_annotated.conllu    |                    4 |                10 |                   71.43 |
| 19_20020501_ssd_forms_annotated.conllu      |                   12 |                 7 |                   36.84 |
| 2690_20001104_ssd_forms_annotated.conllu    |                    6 |                 8 |                   57.14 |
| 1329_20000703_ssd_forms_annotated.conllu    |                    5 |                 2 |                   28.57 |
| 30_20020801_f_ssd_forms_annotated.conllu    |                    0 |                 3 |                  100    |
| d2-13_ssd_forms_annotated.conllu            |                    6 |                 7 |                   53.85 |
| 12863_20001116_ssd_forms_annotated.conllu   |                    1 |                 9 |                   90    |
| 58_20010602_ssd_forms_annotated.conllu      |                    5 |                11 |                   68.75 |
| e1-0_ssd_forms_annotated.conllu             |                    9 |                 4 |                   30.77 |
| dc10-6_ssd_forms_annotated.conllu           |                    5 |                 6 |                   54.55 |
| 18886_20000323_ssd_forms_annotated.conllu   |                    4 |                 3 |                   42.86 |
| 60_19991001_ssd_forms_annotated.conllu      |                    5 |                 5 |                   50    |
| 4361_20000109_ssd_forms_annotated.conllu    |                    7 |                 4 |                   36.36 |
| 66_20010302_ssd_forms_annotated.conllu      |                    0 |                 3 |                  100    |
| 15624_20001019_ssd_forms_annotated.conllu   |                    4 |                12 |                   75    |
| 49_19990601_c_ssd_forms_annotated.conllu    |                    0 |                 4 |                  100    |
| 8633_20000114_ssd_forms_annotated.conllu    |                    6 |                10 |                   62.5  |
| 3_20000602_ssd_forms_annotated.conllu       |                    1 |                10 |                   90.91 |
| 5786_20000407_ssd_forms_annotated.conllu    |                   10 |                 2 |                   16.67 |
| 40_20000202_ssd_forms_annotated.conllu      |                    6 |                 8 |                   57.14 |
| a12-2_ssd_forms_annotated.conllu            |                    7 |                 5 |                   41.67 |
| 2790_20001104_ssd_forms_annotated.conllu    |                    2 |                 3 |                   60    |
| 91_20020402_ssd_forms_annotated.conllu      |                    2 |                 1 |                   33.33 |
| 69_20020501_ssd_forms_annotated.conllu      |                    1 |                 1 |                   50    |
| c5-2_ssd_forms_annotated.conllu             |                    8 |                 3 |                   27.27 |
| 17_20000602_b_ssd_forms_annotated.conllu    |                    8 |                 1 |                   11.11 |
| 132_20010602_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| 34_20000302_ssd_forms_annotated.conllu      |                    8 |                 7 |                   46.67 |
| 44_19981102_ssd_forms_annotated.conllu      |                    2 |                 5 |                   71.43 |
| 4_20020302_ssd_forms_annotated.conllu       |                    3 |                 3 |                   50    |
| 38_19990902_d_ssd_forms_annotated.conllu    |                    0 |                 4 |                  100    |
| 39_20000702_ssd_forms_annotated.conllu      |                    1 |                 1 |                   50    |
| 23199_20000927_ssd_forms_annotated.conllu   |                    5 |                 0 |                    0    |
| 4831_20000306_ssd_forms_annotated.conllu    |                    1 |                 3 |                   75    |
| 69_20010201_h_ssd_forms_annotated.conllu    |                    0 |                 2 |                  100    |
| 15786_20001220_ssd_forms_annotated.conllu   |                    5 |                 2 |                   28.57 |
| t5-7_ssd_forms_annotated.conllu             |                   10 |                 2 |                   16.67 |
| 64_19991101_ssd_forms_annotated.conllu      |                    1 |                 3 |                   75    |
| 204_C-2_ssd_forms_annotated.conllu          |                    0 |                 2 |                  100    |
| 15839_20000123_ssd_forms_annotated.conllu   |                    3 |                 5 |                   62.5  |
| 113_19990501_a_ssd_forms_annotated.conllu   |                    6 |                 8 |                   57.14 |
| 19_20010901_ssd_forms_annotated.conllu      |                    7 |                 4 |                   36.36 |
| 69_20010201_d_ssd_forms_annotated.conllu    |                    2 |                 1 |                   33.33 |
| 56_20000402_ssd_forms_annotated.conllu      |                    2 |                 5 |                   71.43 |
| 9923_20001114_ssd_forms_annotated.conllu    |                    7 |                 8 |                   53.33 |
| 3645_20000305_ssd_forms_annotated.conllu    |                    0 |                 8 |                  100    |
| 49_20001202_ssd_forms_annotated.conllu      |                    1 |                 3 |                   75    |
| d1-6_ssd_forms_annotated.conllu             |                    8 |                 2 |                   20    |
| 104_c-3_ssd_forms_annotated.conllu          |                    6 |                12 |                   66.67 |
| 13150_20000316_ssd_forms_annotated.conllu   |                   10 |                 3 |                   23.08 |
| 69_20000602_ssd_forms_annotated.conllu      |                    2 |                13 |                   86.67 |
| 20120_20000525_ssd_forms_annotated.conllu   |                    4 |                12 |                   75    |
| 26_20010501_ssd_forms_annotated.conllu      |                    0 |                 2 |                  100    |
| r2-2_ssd_forms_annotated.conllu             |                    5 |                10 |                   66.67 |
| 117_19981201_ssd_forms_annotated.conllu     |                   16 |                11 |                   40.74 |
| t4-12_ssd_forms_annotated.conllu            |                    4 |                 6 |                   60    |
| 68_19991201_ssd_forms_annotated.conllu      |                    6 |                 4 |                   40    |
| 29_19990802_ssd_forms_annotated.conllu      |                    3 |                 2 |                   40    |
| 82_20010602_ssd_forms_annotated.conllu      |                    1 |                 1 |                   50    |
| 155_20020502_ssd_forms_annotated.conllu     |                    4 |                 2 |                   33.33 |
| a1-2_ssd_forms_annotated.conllu             |                    8 |                 2 |                   20    |
| 5814_20001208_ssd_forms_annotated.conllu    |                    3 |                 7 |                   70    |
| 49_20010601_ssd_forms_annotated.conllu      |                    0 |                 3 |                  100    |
| 35_20000402_ssd_forms_annotated.conllu      |                    1 |                 0 |                    0    |
| dc3-1_ssd_forms_annotated.conllu            |                    4 |                 6 |                   60    |
| 56_20000801_c_ssd_forms_annotated.conllu    |                    2 |                 2 |                   50    |
| 18701_20000922_ssd_forms_annotated.conllu   |                    4 |                 8 |                   66.67 |
| 142_20000701_ssd_forms_annotated.conllu     |                    0 |                 2 |                  100    |
| 18_19990701_ssd_forms_annotated.conllu      |                   19 |                 9 |                   32.14 |
| 5166_20001108_ssd_forms_annotated.conllu    |                   10 |                 9 |                   47.37 |
| 80_20020401_ssd_forms_annotated.conllu      |                    4 |                 3 |                   42.86 |
| d2-1_ssd_forms_annotated.conllu             |                   10 |                 3 |                   23.08 |
| 53_20000202_ssd_forms_annotated.conllu      |                    2 |                 4 |                   66.67 |
| 25_20000301_ssd_forms_annotated.conllu      |                   11 |                 7 |                   38.89 |
| 124_19990103_ssd_forms_annotated.conllu     |                    1 |                 0 |                    0    |
| t3-6_ssd_forms_annotated.conllu             |                    7 |                 4 |                   36.36 |
| dc3-11_ssd_forms_annotated.conllu           |                    6 |                 5 |                   45.45 |
| a14-3_ssd_forms_annotated.conllu            |                    8 |                 0 |                    0    |
| 13555_20001218_ssd_forms_annotated.conllu   |                    4 |                 4 |                   50    |
| 75_20020102_ssd_forms_annotated.conllu      |                    3 |                 4 |                   57.14 |
| 12375_20000119_ssd_forms_annotated.conllu   |                   13 |                 8 |                   38.1  |
| 43_20001001_ssd_forms_annotated.conllu      |                    2 |                 0 |                    0    |
| 71_19991201_a_ssd_forms_annotated.conllu    |                    3 |                 4 |                   57.14 |
| 92_19990601_ssd_forms_annotated.conllu      |                    0 |                 3 |                  100    |
| 4398_20000706_ssd_forms_annotated.conllu    |                    5 |                 4 |                   44.44 |
