Número de oraciones principales con sujeto antepuesto: 8748
Número de oraciones principales sin sujeto antepuesto: 8616

Porcentaje de oraciones con sujeto antepuesto: 50.38 %

Porcentaje de oraciones con sujeto antepuesto por documento:

+-------+----------------------+-------------------+-------------------------+
|       |   No preceding nsubj |   Preceding nsubj |   % of preceding nsubjs |
| 182_20010601_ssd_annotated.conllu     |                    1 |                 1 |                   50    |
| 116_20010601_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 14944_20000318_ssd_annotated.conllu   |                    4 |                 9 |                   69.23 |
| 135_19991201_d_ssd_annotated.conllu   |                    1 |                 3 |                   75    |
| c1-3_ssd_annotated.conllu             |                    9 |                 4 |                   30.77 |
| 39_20000702_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 6627_20000509_ssd_annotated.conllu    |                    7 |                 4 |                   36.36 |
| 3589_20000405_ssd_annotated.conllu    |                    6 |                 5 |                   45.45 |
| 4361_20000109_ssd_annotated.conllu    |                    8 |                 3 |                   27.27 |
| 118_19991001_ssd_annotated.conllu     |                   10 |                13 |                   56.52 |
| 17_20000301_ssd_annotated.conllu      |                   11 |                13 |                   54.17 |
| 13108_20000120_ssd_annotated.conllu   |                    2 |                 5 |                   71.43 |
| 14149_20001118_ssd_annotated.conllu   |                    4 |                 6 |                   60    |
| 131_20010502_ssd_annotated.conllu     |                    0 |                 1 |                  100    |
| 30_20020501_ssd_annotated.conllu      |                    1 |                 1 |                   50    |
| 116_19991201_ssd_annotated.conllu     |                   10 |                 1 |                    9.09 |
| 11_20000801_ssd_annotated.conllu      |                    4 |                 1 |                   20    |
| n1-11_ssd_annotated.conllu            |                    6 |                 8 |                   57.14 |
| t4-1_ssd_annotated.conllu             |                    8 |                 4 |                   33.33 |
| 93_20010701_ssd_annotated.conllu      |                    7 |                 8 |                   53.33 |
| 16_20001002_a_ssd_annotated.conllu    |                    2 |                 3 |                   60    |
| 26_20000802_ssd_annotated.conllu      |                    2 |                11 |                   84.62 |
| a2-0_ssd_annotated.conllu             |                    5 |                 1 |                   16.67 |
| 182_20010701_ssd_annotated.conllu     |                    2 |                 5 |                   71.43 |
| 20_20000201_a_ssd_annotated.conllu    |                    3 |                 1 |                   25    |
| e3-1_ssd_annotated.conllu             |                    6 |                 6 |                   50    |
| 80_20011001_ssd_annotated.conllu      |                    2 |                 4 |                   66.67 |
| a15-6_ssd_annotated.conllu            |                    8 |                 6 |                   42.86 |
| 27_19981202_ssd_annotated.conllu      |                    2 |                 8 |                   80    |
| 117_20010801_ssd_annotated.conllu     |                    1 |                 3 |                   75    |
| 122_20011202_ssd_annotated.conllu     |                   15 |                 7 |                   31.82 |
| 27_20020801_c_ssd_annotated.conllu    |                    7 |                 5 |                   41.67 |
| 108_20000301_b_ssd_annotated.conllu   |                    4 |                 4 |                   50    |
| 26133_20000930_ssd_annotated.conllu   |                    8 |                12 |                   60    |
| d1-7_ssd_annotated.conllu             |                    7 |                 6 |                   46.15 |
| 3800_20001205_ssd_annotated.conllu    |                    5 |                 2 |                   28.57 |
| 10209_20001114_ssd_annotated.conllu   |                    1 |                 4 |                   80    |
| 123_19990202_ssd_annotated.conllu     |                    8 |                22 |                   73.33 |
| 16_20020202_ssd_annotated.conllu      |                    9 |                 2 |                   18.18 |
| dc1-5_ssd_annotated.conllu            |                    4 |                 6 |                   60    |
| 98_20011101_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| t1-5_ssd_annotated.conllu             |                    7 |                 4 |                   36.36 |
| 2137_20000704_ssd_annotated.conllu    |                    3 |                10 |                   76.92 |
| 11598_20000715_ssd_annotated.conllu   |                    2 |                 5 |                   71.43 |
| 96_19990601_ssd_annotated.conllu      |                    4 |                11 |                   73.33 |
| 8203_20000210_ssd_annotated.conllu    |                    3 |                 2 |                   40    |
| 22553_20001128_ssd_annotated.conllu   |                    3 |                 8 |                   72.73 |
| 25_20011102_ssd_annotated.conllu      |                   11 |                 6 |                   35.29 |
| 12_19990401_ssd_annotated.conllu      |                    4 |                 1 |                   20    |
| 71_19990902_ssd_annotated.conllu      |                    4 |                 2 |                   33.33 |
| 57_20000401_a_ssd_annotated.conllu    |                    0 |                 6 |                  100    |
| 2505_20001004_ssd_annotated.conllu    |                    7 |                 8 |                   53.33 |
| 3365_20000405_ssd_annotated.conllu    |                    4 |                 3 |                   42.86 |
| 41_20000903_ssd_annotated.conllu      |                    6 |                 6 |                   50    |
| 111_C-2_ssd_annotated.conllu          |                    7 |                 8 |                   53.33 |
| 21730_20001026_ssd_annotated.conllu   |                    9 |                 4 |                   30.77 |
| 91_19991002_ssd_annotated.conllu      |                    3 |                 3 |                   50    |
| 110_20001202_ssd_annotated.conllu     |                    2 |                 0 |                    0    |
| dc3-12_ssd_annotated.conllu           |                    9 |                 3 |                   25    |
| a15-3_ssd_annotated.conllu            |                    6 |                10 |                   62.5  |
| 17_20000602_b_ssd_annotated.conllu    |                    3 |                 6 |                   66.67 |
| n1-14_ssd_annotated.conllu            |                   10 |                 6 |                   37.5  |
| 23278_20001129_ssd_annotated.conllu   |                    1 |                 5 |                   83.33 |
| t4-4_ssd_annotated.conllu             |                    9 |                 6 |                   40    |
| 50_20020501_ssd_annotated.conllu      |                    2 |                 1 |                   33.33 |
| dc10-11_ssd_annotated.conllu          |                    7 |                 6 |                   46.15 |
| 24070_20000329_ssd_annotated.conllu   |                    5 |                 6 |                   54.55 |
| 25_20000501_ssd_annotated.conllu      |                    0 |                 3 |                  100    |
| 130_19990701_ssd_annotated.conllu     |                    3 |                 5 |                   62.5  |
| 103_20000502_ssd_annotated.conllu     |                    4 |                 3 |                   42.86 |
| 120_20011001_ssd_annotated.conllu     |                    0 |                 1 |                  100    |
| 23573_20001029_ssd_annotated.conllu   |                    5 |                 4 |                   44.44 |
| 69_19991001_ssd_annotated.conllu      |                    9 |                 6 |                   40    |
| 15071_20000218_ssd_annotated.conllu   |                    1 |                 1 |                   50    |
| 168_20010701_ssd_annotated.conllu     |                    2 |                 2 |                   50    |
| 12_20010302_ssd_annotated.conllu      |                    7 |                 1 |                   12.5  |
| 69_20010501_ssd_annotated.conllu      |                    4 |                13 |                   76.47 |
| 109_19990502_ssd_annotated.conllu     |                    1 |                 1 |                   50    |
| 85_19990302_ssd_annotated.conllu      |                    2 |                 8 |                   80    |
| 26_19990301_ssd_annotated.conllu      |                    1 |                 1 |                   50    |
| 5255_20000110_ssd_annotated.conllu    |                    2 |                 4 |                   66.67 |
| 148_19981202_ssd_annotated.conllu     |                    0 |                 1 |                  100    |
| c1-6_ssd_annotated.conllu             |                   11 |                 3 |                   21.43 |
| 111_C-7_ssd_annotated.conllu          |                    3 |                12 |                   80    |
| 54_19990902_ssd_annotated.conllu      |                    0 |                 4 |                  100    |
| c4-2_ssd_annotated.conllu             |                    6 |                 3 |                   33.33 |
| 57_20000401_d_ssd_annotated.conllu    |                    2 |                 1 |                   33.33 |
| 51_20000402_ssd_annotated.conllu      |                    2 |                 7 |                   77.78 |
| 97_19991102_ssd_annotated.conllu      |                    3 |                13 |                   81.25 |
| 4_20020601_c_ssd_annotated.conllu     |                   18 |                 3 |                   14.29 |
| 6482_20000710_ssd_annotated.conllu    |                   28 |                 1 |                    3.45 |
| 4810_20000306_ssd_annotated.conllu    |                    2 |                 4 |                   66.67 |
| 6304_20000909_ssd_annotated.conllu    |                   13 |                 7 |                   35    |
| 11_19990902_ssd_annotated.conllu      |                   10 |                 8 |                   44.44 |
| 112_20010402_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 7054_20000309_ssd_annotated.conllu    |                   10 |                 8 |                   44.44 |
| 78_20010201_ssd_annotated.conllu      |                    4 |                 5 |                   55.56 |
| t1-0_ssd_annotated.conllu             |                    5 |                 5 |                   50    |
| 5124_20000307_ssd_annotated.conllu    |                    3 |                 5 |                   62.5  |
| 23199_20000927_ssd_annotated.conllu   |                    2 |                 3 |                   60    |
| 211_C-5_ssd_annotated.conllu          |                    6 |                17 |                   73.91 |
| dc1-0_ssd_annotated.conllu            |                    4 |                 6 |                   60    |
| d1-2_ssd_annotated.conllu             |                   12 |                 6 |                   33.33 |
| 16986_20000621_ssd_annotated.conllu   |                    2 |                 3 |                   60    |
| 17928_20000622_ssd_annotated.conllu   |                    3 |                 2 |                   40    |
| 135_19981201_a_ssd_annotated.conllu   |                    4 |                13 |                   76.47 |
| d2-13_ssd_annotated.conllu            |                    5 |                 8 |                   61.54 |
| 101_20020402_ssd_annotated.conllu     |                   12 |                 6 |                   33.33 |
| 101_20010601_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 20667_20000128_ssd_annotated.conllu   |                    1 |                 7 |                   87.5  |
| 10_20010601_ssd_annotated.conllu      |                   10 |                 4 |                   28.57 |
| 1_20020202_ssd_annotated.conllu       |                    7 |                20 |                   74.07 |
| 112_20011101_ssd_annotated.conllu     |                    1 |                 1 |                   50    |
| 13_19990601_ssd_annotated.conllu      |                    6 |                 3 |                   33.33 |
| 5560_20001007_ssd_annotated.conllu    |                   13 |                10 |                   43.48 |
| 108_20020202_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 100_20010901_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 21_20000202_b_ssd_annotated.conllu    |                   74 |                17 |                   18.68 |
| 25185_20000630_ssd_annotated.conllu   |                    3 |                10 |                   76.92 |
| 7997_20001212_ssd_annotated.conllu    |                    5 |                 0 |                    0    |
| 93_20020202_ssd_annotated.conllu      |                    0 |                 4 |                  100    |
| dc3-1_ssd_annotated.conllu            |                    6 |                 5 |                   45.45 |
| 145_20011202_a_ssd_annotated.conllu   |                   15 |                 9 |                   37.5  |
| 30_20020801_f_ssd_annotated.conllu    |                    1 |                 2 |                   66.67 |
| t3-1_ssd_annotated.conllu             |                   20 |                 4 |                   16.67 |
| 19771_20000127_ssd_annotated.conllu   |                    2 |                 3 |                   60    |
| 20993_20000225_ssd_annotated.conllu   |                    6 |                 6 |                   50    |
| 10268_20000413_ssd_annotated.conllu   |                    4 |                11 |                   73.33 |
| 38_19990902_e_ssd_annotated.conllu    |                    0 |                 3 |                  100    |
| 17704_20000522_ssd_annotated.conllu   |                    0 |                11 |                  100    |
| 28_20010102_ssd_annotated.conllu      |                    5 |                11 |                   68.75 |
| 15931_20000320_ssd_annotated.conllu   |                    5 |                 5 |                   50    |
| 146_20001001_ssd_annotated.conllu     |                    1 |                 1 |                   50    |
| 24024_20000731_ssd_annotated.conllu   |                    2 |                 3 |                   60    |
| 42_20020802_ssd_annotated.conllu      |                    7 |                 4 |                   36.36 |
| 193_20010701_ssd_annotated.conllu     |                   18 |                23 |                   56.1  |
| 17142_20000321_ssd_annotated.conllu   |                    3 |                 8 |                   72.73 |
| t6-5_ssd_annotated.conllu             |                    4 |                 2 |                   33.33 |
| 17516_20000722_ssd_annotated.conllu   |                    0 |                 1 |                  100    |
| 54_20020102_ssd_annotated.conllu      |                    1 |                 1 |                   50    |
| 199_20001201_ssd_annotated.conllu     |                   10 |                 6 |                   37.5  |
| 15780_20000620_ssd_annotated.conllu   |                    3 |                12 |                   80    |
| 9246_20000713_ssd_annotated.conllu    |                    5 |                 3 |                   37.5  |
| 73_20020301_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 19_19990602_b_ssd_annotated.conllu    |                    3 |                 1 |                   25    |
| 49_20001001_ssd_annotated.conllu      |                    1 |                 0 |                    0    |
| 2000060111_5-3_ssd_annotated.conllu   |                    2 |                 3 |                   60    |
| 16230_20000220_ssd_annotated.conllu   |                   14 |                 8 |                   36.36 |
| 10646_20000313_ssd_annotated.conllu   |                    2 |                 4 |                   66.67 |
| d1-8_ssd_annotated.conllu             |                    7 |                 6 |                   46.15 |
| 20072_20000924_ssd_annotated.conllu   |                    8 |                 5 |                   38.46 |
| dc2-10_ssd_annotated.conllu           |                   13 |                 6 |                   31.58 |
| 19559_20000923_ssd_annotated.conllu   |                    5 |                 8 |                   61.54 |
| 148_20010602_ssd_annotated.conllu     |                    1 |                 1 |                   50    |
| 10_20010402_b_ssd_annotated.conllu    |                    7 |                12 |                   63.16 |
| 21423_20000428_ssd_annotated.conllu   |                    5 |                 7 |                   58.33 |
| a12-3_ssd_annotated.conllu            |                    7 |                 4 |                   36.36 |
| 24289_20000731_ssd_annotated.conllu   |                    7 |                 4 |                   36.36 |
| 117_19990202_ssd_annotated.conllu     |                   13 |                15 |                   53.57 |
| 151_20010202_ssd_annotated.conllu     |                    2 |                 6 |                   75    |
| t3-4_ssd_annotated.conllu             |                   20 |                 6 |                   23.08 |
| 14234_20000217_ssd_annotated.conllu   |                    3 |                 8 |                   72.73 |
| 30_20020801_c_ssd_annotated.conllu    |                    2 |                 3 |                   60    |
| dc3-4_ssd_annotated.conllu            |                    4 |                 6 |                   60    |
| 37_19990901_ssd_annotated.conllu      |                    2 |                 2 |                   50    |
| 96_20020401_ssd_annotated.conllu      |                    3 |                 5 |                   62.5  |
| 178_20010201_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 17784_20000125_ssd_annotated.conllu   |                    4 |                 8 |                   66.67 |
| r2-10_ssd_annotated.conllu            |                    8 |                 3 |                   27.27 |
| d2-16_ssd_annotated.conllu            |                   10 |                 4 |                   28.57 |
| 135_19981201_d_ssd_annotated.conllu   |                    1 |                 3 |                   75    |
| 20121_20000427_ssd_annotated.conllu   |                   10 |                10 |                   50    |
| 30_20000903_ssd_annotated.conllu      |                   12 |                 9 |                   42.86 |
| 37_19990301_ssd_annotated.conllu      |                    8 |                13 |                   61.9  |
| 16977_20000722_ssd_annotated.conllu   |                    3 |                 8 |                   72.73 |
| 56_20010102_ssd_annotated.conllu      |                    1 |                 1 |                   50    |
| 8873_20000412_ssd_annotated.conllu    |                    2 |                 9 |                   81.82 |
| 157_20010202_b_ssd_annotated.conllu   |                    6 |                 5 |                   45.45 |
| 7848_20001110_ssd_annotated.conllu    |                    4 |                 6 |                   60    |
| 11317_20000817_ssd_annotated.conllu   |                    2 |                 7 |                   77.78 |
| 13476_20000120_ssd_annotated.conllu   |                    7 |                 1 |                   12.5  |
| 17992_20001022_ssd_annotated.conllu   |                    5 |                 2 |                   28.57 |
| 2_20010702_ssd_annotated.conllu       |                    0 |                 3 |                  100    |
| 19413_20000524_ssd_annotated.conllu   |                    1 |                 9 |                   90    |
| 68_19991201_ssd_annotated.conllu      |                    6 |                 4 |                   40    |
| 1267_20000103_ssd_annotated.conllu    |                   10 |                 5 |                   33.33 |
| t6-0_ssd_annotated.conllu             |                    9 |                 1 |                   10    |
| 99_20020301_ssd_annotated.conllu      |                    3 |                14 |                   82.35 |
| 7674_20001010_ssd_annotated.conllu    |                    4 |                 8 |                   66.67 |
| 24_19981201_ssd_annotated.conllu      |                    9 |                14 |                   60.87 |
| 4506_20000406_ssd_annotated.conllu    |                    1 |                 8 |                   88.89 |
| 102_19981202_ssd_annotated.conllu     |                    3 |                12 |                   80    |
| 78_20000301_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 5_20010302_ssd_annotated.conllu       |                    4 |                 2 |                   33.33 |
| e1-0_ssd_annotated.conllu             |                   10 |                 3 |                   23.08 |
| 16_19990501_b_ssd_annotated.conllu    |                    3 |                 3 |                   50    |
| 16712_20000825_ssd_annotated.conllu   |                    5 |                 2 |                   28.57 |
| 20077_20001125_ssd_annotated.conllu   |                    5 |                 2 |                   28.57 |
| 119_20010401_ssd_annotated.conllu     |                    4 |                10 |                   71.43 |
| 5_20000903_ssd_annotated.conllu       |                    5 |                 6 |                   54.55 |
| 73_20000201_h_ssd_annotated.conllu    |                    1 |                 2 |                   66.67 |
| 21333_20000326_f_ssd_annotated.conllu |                    2 |                 2 |                   50    |
| 15595_20000920_ssd_annotated.conllu   |                   16 |                15 |                   48.39 |
| 22292_20000131_ssd_annotated.conllu   |                    6 |                 4 |                   40    |
| 19_20010901_ssd_annotated.conllu      |                    7 |                 4 |                   36.36 |
| 68_19990902_ssd_annotated.conllu      |                    2 |                 4 |                   66.67 |
| 110_20000401_ssd_annotated.conllu     |                    2 |                11 |                   84.62 |
| 57_20000601_b_ssd_annotated.conllu    |                    0 |                 2 |                  100    |
| 30_20010902_ssd_annotated.conllu      |                    0 |                 1 |                  100    |
| 10568_20001013_ssd_annotated.conllu   |                    3 |                 8 |                   72.73 |
| a14-2_ssd_annotated.conllu            |                   12 |                 3 |                   20    |
| 11470_20000515_ssd_annotated.conllu   |                    6 |                13 |                   68.42 |
| 42_20010901_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 6434_20000710_ssd_annotated.conllu    |                    1 |                 4 |                   80    |
| t5-5_ssd_annotated.conllu             |                    9 |                 2 |                   18.18 |
| 17278_20000321_ssd_annotated.conllu   |                    3 |                 4 |                   57.14 |
| 141_20011101_ssd_annotated.conllu     |                    2 |                 2 |                   50    |
| 2000060211_6-1_ssd_annotated.conllu   |                    4 |                 3 |                   42.86 |
| 1506_20001003_ssd_annotated.conllu    |                    2 |                 9 |                   81.82 |
| 5145_20000207_ssd_annotated.conllu    |                    2 |                 2 |                   50    |
| 10049_20001114_ssd_annotated.conllu   |                    0 |                 9 |                  100    |
| 116_20020102_ssd_annotated.conllu     |                    1 |                 1 |                   50    |
| 99_20011001_ssd_annotated.conllu      |                    1 |                 2 |                   66.67 |
| 20_20010102_ssd_annotated.conllu      |                    7 |                 1 |                   12.5  |
| 151_19990702_b_ssd_annotated.conllu   |                    1 |                 1 |                   50    |
| 4958_20000606_ssd_annotated.conllu    |                    5 |                 6 |                   54.55 |
| 159_20011001_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 2000060204_5-3_ssd_annotated.conllu   |                    4 |                14 |                   77.78 |
| 3847_20000605_ssd_annotated.conllu    |                    7 |                 7 |                   50    |
| 69_20010201_f_ssd_annotated.conllu    |                    2 |                 4 |                   66.67 |
| 5394_20001207_ssd_annotated.conllu    |                    2 |                 4 |                   66.67 |
| 52_20000701_ssd_annotated.conllu      |                    1 |                 3 |                   75    |
| 132_20001202_ssd_annotated.conllu     |                    3 |                 5 |                   62.5  |
| 39_20000302_ssd_annotated.conllu      |                    3 |                 6 |                   66.67 |
| 56_20000801_m_ssd_annotated.conllu    |                    1 |                 2 |                   66.67 |
| r2-3_ssd_annotated.conllu             |                    8 |                 7 |                   46.67 |
| 11977_20000215_ssd_annotated.conllu   |                    9 |                 6 |                   40    |
| 17_19981201_ssd_annotated.conllu      |                    7 |                 5 |                   41.67 |
| 78_19990102_ssd_annotated.conllu      |                    1 |                 1 |                   50    |
| 125_19990702_ssd_annotated.conllu     |                    4 |                 3 |                   42.86 |
| 2000060104_5-1_ssd_annotated.conllu   |                    3 |                 5 |                   62.5  |
| 68_19990302_ssd_annotated.conllu      |                    7 |                 6 |                   46.15 |
| 104_20010902_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 71_19991201_h_ssd_annotated.conllu    |                    2 |                 2 |                   50    |
| t4-10_ssd_annotated.conllu            |                    7 |                 5 |                   41.67 |
| 19350_20001024_ssd_annotated.conllu   |                    6 |                 2 |                   25    |
| 20019_20000427_ssd_annotated.conllu   |                    8 |                 6 |                   42.86 |
| 11033_20000817_ssd_annotated.conllu   |                    5 |                 7 |                   58.33 |
| t5-0_ssd_annotated.conllu             |                    2 |                 9 |                   81.82 |
| 135_19991201_e_ssd_annotated.conllu   |                    0 |                 4 |                  100    |
| 68_20000201_ssd_annotated.conllu      |                    1 |                 3 |                   75    |
| e2-0_ssd_annotated.conllu             |                    9 |                 4 |                   30.77 |
| 56_20000402_ssd_annotated.conllu      |                    2 |                 5 |                   71.43 |
| 22039_20000926_ssd_annotated.conllu   |                    6 |                 3 |                   33.33 |
| 50_20010902_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 90_20010402_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 80_20020401_ssd_annotated.conllu      |                    3 |                 4 |                   57.14 |
| 16_20020601_b_ssd_annotated.conllu    |                    0 |                 3 |                  100    |
| 17249_20001021_ssd_annotated.conllu   |                    5 |                 3 |                   37.5  |
| 11981_20001215_ssd_annotated.conllu   |                    1 |                 4 |                   80    |
| 21333_20000326_c_ssd_annotated.conllu |                    3 |                 1 |                   25    |
| 48_20000402_ssd_annotated.conllu      |                    7 |                10 |                   58.82 |
| 18213_20000828_ssd_annotated.conllu   |                    5 |                 5 |                   50    |
| 150_20000202_ssd_annotated.conllu     |                    0 |                 1 |                  100    |
| 41_20000202_ssd_annotated.conllu      |                    6 |                 2 |                   25    |
| 179_20010401_ssd_annotated.conllu     |                    5 |                 5 |                   50    |
| 2_19991102_ssd_annotated.conllu       |                   11 |                 6 |                   35.29 |
| 102_20010202_ssd_annotated.conllu     |                    9 |                 8 |                   47.06 |
| 78_20020402_ssd_annotated.conllu      |                    0 |                 3 |                  100    |
| 125_20020202_ssd_annotated.conllu     |                    5 |                 4 |                   44.44 |
| 25_20020502_ssd_annotated.conllu      |                    3 |                 4 |                   57.14 |
| 54_20010802_a_ssd_annotated.conllu    |                    1 |                 4 |                   80    |
| 54_20011202_ssd_annotated.conllu      |                    1 |                 3 |                   75    |
| r2-6_ssd_annotated.conllu             |                    5 |                10 |                   66.67 |
| 21729_20000225_ssd_annotated.conllu   |                    8 |                 5 |                   38.46 |
| 53_20001002_ssd_annotated.conllu      |                    2 |                 2 |                   50    |
| 56_20000801_h_ssd_annotated.conllu    |                    2 |                 2 |                   50    |
| 21_20000601_b_ssd_annotated.conllu    |                    7 |                 2 |                   22.22 |
| 11_19990702_ssd_annotated.conllu      |                   13 |                10 |                   43.48 |
| 19336_20000623_ssd_annotated.conllu   |                    7 |                 9 |                   56.25 |
| 69_20010201_c_ssd_annotated.conllu    |                    0 |                 4 |                  100    |
| 10664_20000117_ssd_annotated.conllu   |                    3 |                 5 |                   62.5  |
| 14479_20000418_ssd_annotated.conllu   |                    5 |                 2 |                   28.57 |
| d2-8_ssd_annotated.conllu             |                    5 |                 6 |                   54.55 |
| 69_20000701_ssd_annotated.conllu      |                    4 |                 9 |                   69.23 |
| 86_20000102_ssd_annotated.conllu      |                    8 |                12 |                   60    |
| 176_20010301_ssd_annotated.conllu     |                    2 |                 4 |                   66.67 |
| 20018_20000127_ssd_annotated.conllu   |                    5 |                10 |                   66.67 |
| 35_20000301_ssd_annotated.conllu      |                    2 |                 4 |                   66.67 |
| 15630_20001120_ssd_annotated.conllu   |                    9 |                 4 |                   30.77 |
| 166_20001202_ssd_annotated.conllu     |                    9 |                 3 |                   25    |
| 117_19981201_ssd_annotated.conllu     |                    8 |                19 |                   70.37 |
| 121_19991202_d_ssd_annotated.conllu   |                    1 |                 2 |                   66.67 |
| 17865_20001223_ssd_annotated.conllu   |                   25 |                12 |                   32.43 |
| 79_19990302_ssd_annotated.conllu      |                    8 |                18 |                   69.23 |
| r2-9_ssd_annotated.conllu             |                    8 |                 2 |                   20    |
| 9_20010701_ssd_annotated.conllu       |                    1 |                 1 |                   50    |
| n1-5_ssd_annotated.conllu             |                    8 |                 3 |                   27.27 |
| 92_20000701_ssd_annotated.conllu      |                    8 |                12 |                   60    |
| 95_20010501_ssd_annotated.conllu      |                    0 |                 3 |                  100    |
| 81_20001001_ssd_annotated.conllu      |                    6 |                 4 |                   40    |
| 56_20000801_g_ssd_annotated.conllu    |                    0 |                 3 |                  100    |
| 4723_20001006_ssd_annotated.conllu    |                    3 |                 2 |                   40    |
| 18_19990602_a_ssd_annotated.conllu    |                    3 |                 2 |                   40    |
| 137_20020501_ssd_annotated.conllu     |                    3 |                 6 |                   66.67 |
| 43_19981201_ssd_annotated.conllu      |                    3 |                 6 |                   66.67 |
| 24674_20001130_ssd_annotated.conllu   |                    4 |                 1 |                   20    |
| 69_20010201_l_ssd_annotated.conllu    |                    0 |                 2 |                  100    |
| 129_20010702_ssd_annotated.conllu     |                    7 |                 1 |                   12.5  |
| d2-7_ssd_annotated.conllu             |                    6 |                 6 |                   50    |
| 120_20020301_ssd_annotated.conllu     |                    0 |                 2 |                  100    |
| 50_19990301_ssd_annotated.conllu      |                   21 |                15 |                   41.67 |
| 108_20000601_c_ssd_annotated.conllu   |                    2 |                 2 |                   50    |
| dc2-5_ssd_annotated.conllu            |                    3 |                 7 |                   70    |
| 109_19981201_ssd_annotated.conllu     |                    5 |                 6 |                   54.55 |
| 10409_20000413_ssd_annotated.conllu   |                    6 |                 4 |                   40    |
| 106_20020402_ssd_annotated.conllu     |                    2 |                 3 |                   60    |
| d1-12_ssd_annotated.conllu            |                   16 |                 5 |                   23.81 |
| 18964_20000923_ssd_annotated.conllu   |                    7 |                 7 |                   50    |
| 71_19991201_g_ssd_annotated.conllu    |                    1 |                 2 |                   66.67 |
| a1-0_ssd_annotated.conllu             |                   10 |                 1 |                    9.09 |
| 204_C-2_ssd_annotated.conllu          |                    0 |                 2 |                  100    |
| 27_20000402_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 143_20010601_ssd_annotated.conllu     |                    8 |                 4 |                   33.33 |
| 12_20000903_ssd_annotated.conllu      |                    9 |                 2 |                   18.18 |
| 101_20000401_ssd_annotated.conllu     |                    2 |                 1 |                   33.33 |
| 65_20010602_ssd_annotated.conllu      |                    3 |                 6 |                   66.67 |
| 105_19990601_ssd_annotated.conllu     |                    1 |                 7 |                   87.5  |
| 128_20010202_ssd_annotated.conllu     |                    0 |                 1 |                  100    |
| 16_20010901_ssd_annotated.conllu      |                    8 |                 3 |                   27.27 |
| 39_20010202_ssd_annotated.conllu      |                   15 |                 5 |                   25    |
| 12469_20001216_ssd_annotated.conllu   |                    4 |                 4 |                   50    |
| c2-3_ssd_annotated.conllu             |                    5 |                 5 |                   50    |
| 24844_20000929_ssd_annotated.conllu   |                   10 |                 7 |                   41.18 |
| 16816_20000221_ssd_annotated.conllu   |                    3 |                 5 |                   62.5  |
| 17069_20000423_ssd_annotated.conllu   |                    9 |                 9 |                   50    |
| 73_20000201_b_ssd_annotated.conllu    |                    0 |                 2 |                  100    |
| dc10-5_ssd_annotated.conllu           |                    5 |                 5 |                   50    |
| dc1-14_ssd_annotated.conllu           |                    5 |                 5 |                   50    |
| 35_20000202_f_ssd_annotated.conllu    |                    2 |                 4 |                   66.67 |
| 11553_20000817_ssd_annotated.conllu   |                    1 |                 6 |                   85.71 |
| 2531_20000303_ssd_annotated.conllu    |                    5 |                 3 |                   37.5  |
| 3260_20000505_ssd_annotated.conllu    |                    5 |                 8 |                   61.54 |
| dc2-0_ssd_annotated.conllu            |                    7 |                 5 |                   41.67 |
| 14013_20000120_ssd_annotated.conllu   |                    5 |                 8 |                   61.54 |
| 4842_20000606_ssd_annotated.conllu    |                    4 |                14 |                   77.78 |
| 17_20020103_ssd_annotated.conllu      |                    3 |                 1 |                   25    |
| 51_20010102_ssd_annotated.conllu      |                    8 |                 5 |                   38.46 |
| d2-2_ssd_annotated.conllu             |                    5 |                 8 |                   61.54 |
| 113_19990501_c_ssd_annotated.conllu   |                    2 |                 6 |                   75    |
| 14620_20000318_ssd_annotated.conllu   |                    5 |                 4 |                   44.44 |
| 105_20020301_ssd_annotated.conllu     |                    6 |                 3 |                   33.33 |
| 181_20010302_ssd_annotated.conllu     |                    1 |                 2 |                   66.67 |
| 69_20010201_i_ssd_annotated.conllu    |                    1 |                 2 |                   66.67 |
| 149_20020501_ssd_annotated.conllu     |                    3 |                 3 |                   50    |
| 14_20020301_ssd_annotated.conllu      |                    6 |                 2 |                   25    |
| 6773_20000112_ssd_annotated.conllu    |                    3 |                 1 |                   25    |
| 10656_20001214_ssd_annotated.conllu   |                    3 |                 4 |                   57.14 |
| 46_19991202_ssd_annotated.conllu      |                    0 |                 2 |                  100    |
| 17451_20000522_ssd_annotated.conllu   |                    5 |                 7 |                   58.33 |
